ticker,nom,secteur,prix,market_cap_B,score,C1_CA_Growth_%,C1_ok,C2_Marge_%,C2_ok,C3_Underval,C3_ok,C4_Momentum_%,C4_ok,C5_VolRatio,C5_ok
PPL,PPL Corporation,Utilities,36.88,27.739849580759,2,2.8493894165535956,False,40.45734388742304,True,2,True,4.981497144297942,False,0.8932265294997924,False
PAYX,"Paychex, Inc.",Technology,91.38,32.740619721704704,2,19.874088800530153,False,76.16230858532809,True,2,True,-7.2095916546450205,False,0.960924371503243,False
GDC,GD Culture Group Limited,Communication Services,1.24,0.07534204221944976,2,,False,,False,2,True,-64.77272681091442,False,2.613465689695044,True
RYTM,"Rhythm Pharmaceuticals, Inc.",Healthcare,96.61,6.620935204098984,2,36.87066698541717,True,91.61266658515711,True,0,False,-10.521441587400204,False,1.0253734731886648,False
PIPR,Piper Sandler Companies,Financial Services,80.57,5.752697978210449,2,38.80058453719139,True,,False,2,True,-6.441780811905606,False,0.9370104659925524,False
AAUC,Allied Gold Corporation,Basic Materials,29.97,3.7726603466942197,2,150.4126523301687,True,48.51619840119676,True,0,False,-4.947673134532316,False,0.9119982483349427,False
HAS,"Hasbro, Inc.",Consumer Cyclical,97.48,13.795520584198425,2,31.25453885257807,True,60.910159762085904,True,0,False,0.9214277386754954,False,0.9581967854363892,False
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,17.75,8.149204985,2,6.401639165512292,False,41.03016396364285,True,2,True,-20.367881242951192,False,1.0444611111263462,False
PAYC,"Paycom Software, Inc.",Technology,126.36,6.023092089533097,2,10.210519708508057,False,83.86918978504502,True,2,True,-2.6802185964969194,False,0.6051463448437698,False
ATGE,Adtalem Global Education Inc.,Consumer Defensive,107.63,3.714152235709511,2,12.430733769758046,False,59.19127506779105,True,2,True,-11.254948600979898,False,0.8741427368722066,False
4BW.MU,BWX Technologies Inc.         R,N/A,218.68,,2,18.703091520863175,False,21.14090323105023,False,0,False,8.10630660736642,True,2.0086206896551726,True
KPTI,Karyopharm Therapeutics Inc.,Healthcare,9.02,0.203412285323143,2,11.580774016108965,False,95.64541213063764,True,0,False,43.1746061060283,True,0.795943041205714,False
LLY,Eli Lilly and Company,Healthcare,987.05,880.1933439067848,2,42.55734216126744,True,82.52280738129795,True,1,False,-10.845256869514808,False,1.0203987313628073,False
YPF,YPF Sociedad Anonima,Energy,43.26,16.973443278958694,2,-4.477611940298507,False,28.87323943661972,False,0,False,9.546711782294292,True,1.2358341438661944,True
BELFB,Bel Fuse Inc.,Technology,286.89,3.0431697645424807,2,17.40235821672372,False,39.43207266196047,True,0,False,35.594107271781475,True,1.129893931689163,False
AOS,A.O. Smith Corporation,Industrials,61.06,6.836611446661167,2,0.010960105217010083,False,38.4,True,2,True,-22.087534473189695,False,1.1030393038853714,False
INOD,Innodata Inc.,Technology,46.51,1.5187843672696533,2,22.298073673538358,True,38.272355476953685,True,1,False,-1.210712589958951,False,0.8987987682007729,False
